ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_4, xbar_stalls, port1, Accumulator, 1821667360, 0, 12, 12, 12, 1, 1
rtr_4, xbar_stalls, port2, Accumulator, 1821667360, 0, 15, 15, 15, 1, 1
rtr_5, send_bit_count, port0, Accumulator, 1821667360, 0, 1613440, 676864000, 9650, 64, 576
rtr_5, send_packet_count, port0, Accumulator, 1821667360, 0, 9650, 9650, 9650, 1, 1
rtr_5, output_port_stalls, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_5, idle_time, port0, Accumulator, 1821667360, 0, 1813493810, 10046568128225172, 7986, 1097, 61753923
rtr_5, width_adj_count, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_5, send_bit_count, port1, Accumulator, 1821667360, 0, 3642688, 2038878208, 7933, 64, 576
rtr_5, send_packet_count, port1, Accumulator, 1821667360, 0, 7933, 7933, 7933, 1, 1
rtr_5, output_port_stalls, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_5, idle_time, port1, Accumulator, 1821667360, 0, 1814948109, 10389400040941793, 7361, 1097, 61293155
rtr_5, width_adj_count, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_5, send_bit_count, port2, Accumulator, 1821667360, 0, 472640, 236982272, 1777, 64, 576
rtr_5, send_packet_count, port2, Accumulator, 1821667360, 0, 1777, 1777, 1777, 1, 1
rtr_5, output_port_stalls, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_5, idle_time, port2, Accumulator, 1821667360, 0, 1820162241, 23359431532785355, 1668, 1300, 68435059
rtr_5, width_adj_count, port2, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_5, xbar_stalls, port0, Accumulator, 1821667360, 0, 13, 13, 13, 1, 1
rtr_5, xbar_stalls, port1, Accumulator, 1821667360, 0, 16, 16, 16, 1, 1
rtr_5, xbar_stalls, port2, Accumulator, 1821667360, 0, 9, 9, 9, 1, 1
rtr_6, send_bit_count, port0, Accumulator, 1821667360, 0, 1379136, 564842496, 8621, 64, 576
rtr_6, send_packet_count, port0, Accumulator, 1821667360, 0, 8621, 8621, 8621, 1, 1
rtr_6, output_port_stalls, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_6, idle_time, port0, Accumulator, 1821667360, 0, 1814365373, 10278352443465169, 7300, 1097, 61753923
rtr_6, width_adj_count, port0, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_6, send_bit_count, port1, Accumulator, 1821667360, 0, 3399872, 1908322304, 7259, 64, 576
rtr_6, send_packet_count, port1, Accumulator, 1821667360, 0, 7259, 7259, 7259, 1, 1
rtr_6, output_port_stalls, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_6, idle_time, port1, Accumulator, 1821667360, 0, 1815518987, 10587527074528785, 6735, 1097, 61770863
rtr_6, width_adj_count, port1, Accumulator, 1821667360, 0, 0, 0, 0, 0, 0
rtr_6, send_bit_count, port2, Accumulator, 1821667360, 0, 463424, 232263680, 1745, 64, 576
